,model_name,0-4k,4-8k,8k+
1,2wikimqa_ws32_st31.0_snks0_hopf_True_type_max_fused,17.63,13.64,9.57
7,2wikimqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000,17.65,16.23,9.19
15,2wikimqa_ws3_st20.0_snks0_hopf_False_type_max_fused,18.98,15.19,11.72
20,2wikimqa_ws5_st31.0_snks0_hopf_True_type_max_fused,15.22,14.92,9.44
6,hotpotqa_ws32_st31.0_snks0_hopf_True_type_max_fused,17.55,13.65,14.12
0,hotpotqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000,16.71,14.49,15.29
8,hotpotqa_ws3_st20.0_snks0_hopf_False_type_max_fused,16.26,15.03,14.5
23,hotpotqa_ws3_st20.0_snks0_hopf_True_type_max_fused,14.4,12.0,10.76
3,hotpotqa_ws5_st31.0_snks0_hopf_True_type_max_fused,15.07,13.63,11.83
2,lcc_ws32_st31.0_snks0_hopf_True_type_max_fused,64.22,67.06,65.34
4,lcc_ws3_st20.0_snks0_hopf_False_type_max_fused,65.59,66.27,66.59
10,lcc_ws5_st31.0_snks0_hopf_True_type_max_fused,55.28,51.65,56.9
17,multi_news_ws32_st31.0_snks0_hopf_True_type_max_fused,26.3,24.08,22.87
13,multi_news_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000,26.15,24.18,
11,multi_news_ws3_st20.0_snks0_hopf_False_type_max_fused,27.26,25.97,24.51
9,multi_news_ws3_st20.0_snks0_hopf_True_type_max_fused,18.72,20.23,
24,multi_news_ws5_st31.0_snks0_hopf_True_type_max_fused,21.65,20.29,20.17
16,passage_retrieval_en_ws32_st31.0_snks0_hopf_True_type_max_fused,97.45,77.0,52.22
22,passage_retrieval_en_ws3_st20.0_snks0_hopf_False_type_max_fused,97.29,77.57,52.76
14,passage_retrieval_en_ws3_st20.0_snks0_hopf_True_type_max_fused,92.18,70.79,50.4
21,passage_retrieval_en_ws5_st31.0_snks0_hopf_True_type_max_fused,92.53,71.13,46.47
12,qasper_ws32_st31.0_snks0_hopf_True_type_max_fused,11.86,9.69,5.43
19,qasper_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000,11.97,9.83,6.62
18,qasper_ws3_st20.0_snks0_hopf_False_type_max_fused,12.83,11.56,7.1
5,qasper_ws5_st31.0_snks0_hopf_True_type_max_fused,8.39,7.44,5.34
